people_id,person_hash,party_id,state_id,party,role_id,role,name,first_name,middle_name,last_name,suffix,nickname,district,ftm_eid,votesmart_id,opensecrets_id,knowwho_pid,ballotpedia,bioguide_id,committee_sponsor,committee_id,state_federal
24010,ro4rptlb,1,52,D,1,Rep,Donald Davis,Donald,G.,Davis,,Don,HD-NC-1,0,102950,,0,Donald_Davis,D000230,0,0,2165
24011,3cjmrfqe,1,52,D,1,Rep,Christopher Deluzio,Christopher,R.,Deluzio,,Chris,HD-PA-17,0,202954,,0,Christopher_Deluzio,D000530,0,0,0
24012,mnp2k03h,2,52,R,1,Rep,Monica De La Cruz,Monica,,De La Cruz,,,HD-TX-15,0,188292,,0,Monica_De_La_Cruz,D000594,0,0,0
24015,u73ke64w,2,52,R,1,Rep,Mike Ezell,Mike,,Ezell,,,HD-MS-4,0,202526,,0,Mike_Ezell,E000235,0,0,0
24016,8fipzkjy,2,52,R,1,Rep,Chuck Edwards,Charles,,Edwards,,Chuck,HD-NC-11,0,166600,,0,Chuck_Edwards,E000246,0,0,18062
24017,h8v0p6ju,1,52,D,1,Rep,Maxwell Frost,Maxwell,Alejandro,Frost,,,HD-FL-10,0,209096,,0,Maxwell_Alejandro_Frost,F000476,0,0,0
24018,wkrm3izc,1,52,D,1,Rep,Valerie Foushee,Valerie,P.,Foushee,,,HD-NC-4,0,93091,,0,Valerie_Foushee,F000477,0,0,14616
24019,k9uqc6mh,2,52,R,1,Rep,Russell Fry,Russell,,Fry,,,HD-SC-7,0,157265,,0,Russell_Fry,F000478,0,0,17737
24020,43tsyjhu,1,52,D,1,Rep,Robert Garcia,Robert,,Garcia,,,HD-CA-42,0,29749,,0,Robert_Garcia_(California),G000598,0,0,0
24021,imessbim,1,52,D,1,Rep,Daniel Goldman,Daniel,S.,Goldman,,,HD-NY-10,0,208627,,0,Daniel_Goldman,G000599,0,0,0
24022,mzhnsrg3,1,52,D,1,Rep,Marie Gluesenkamp Perez,Marie,,Gluesenkamp Perez,,,HD-WA-3,0,207307,,0,Marie_Gluesenkamp_Perez,G000600,0,0,0
